path;header;created;author;birthday;header_trans;author_trans;translator;date_trans;sphere;lang;lang_trans;lang_variant;__num__;comments
kor-rus xml/Booster by Stray Kids.xml;Booster;2019;Stray Kids;;Booster;Stray Kids;Varennik;;художественная;kor;rus;;36;
kor-rus xml/Boxer by Stray Kids.xml;Boxer;2019;Stray Kids;;Boxer;Stray Kids;Varennik;;художественная;kor;rus;;37;
kor-rus xml/Breathe For You by MONSTA X.xml;Breathe For You;2019;MONSTA X;;Breathe For You;MONSTA X;riav;;художественная;kor;rus;;38;
kor-rus xml/BUCK by WOODZ.xml;BUCK;2020;WOODZ;;BUCK;WOODZ;saidenkook;;художественная;kor;rus;;39;
kor-rus xml/BUMP BUMP by WOODZ.xml;BUMP BUMP;2020;WOODZ;;BUMP BUMP;WOODZ;Pink and Pink sweater;;художественная;kor;rus;;40;
kor-rus xml/Burn by SUNMI.xml;Burn;2014;SUNMI;;Burn;SUNMI;ArchiePark;;художественная;kor;rus;;41;
kor-rus xml/Burn It Up by MONSTA X.xml;Burn It Up;2019;MONSTA X;;Burn It Up;MONSTA X;ворон;;художественная;kor;rus;;42;
kor-rus xml/Butterfly by Wheein.xml;Butterfly;2021;Wheein;;Butterfly;Wheein;WALLE;;художественная;kor;rus;;43;
kor-rus xml/By My Side by MONSTA X.xml;By My Side;2018;MONSTA X;;By My Side;MONSTA X;ворон;;художественная;kor;rus;;44;
kor-rus xml/Call by SUNMI.xml;Call;2021;SUNMI;;Call;SUNMI;Beautiful Life;;художественная;kor;rus;;45;
kor-rus xml/Can_t Nobody by 2NE1.xml;Can_t Nobody;2010;2NE1;;Can_t Nobody;2NE1;Jane Doe;;художественная;kor;rus;;46;
kor-rus xml/Catallena by Orange Caramel.xml;Catallena;2014;Orange Caramel;;Catallena;Orange Caramel;8U;;художественная;kor;rus;;47;
kor-rus xml/Chaotic by MONSTA X.xml;Chaotic;2020;MONSTA X;;Chaotic;MONSTA X;Ира Серёгина;;художественная;kor;rus;;48;
kor-rus xml/Charmer by Stray Kids.xml;Charmer;2022;Stray Kids;;Charmer;Stray Kids;Varennik;;художественная;kor;rus;;49;
kor-rus xml/Chase Me by Dreamcatcher.xml;Chase Me;2017;Dreamcatcher;;Chase Me;Dreamcatcher;8U;;художественная;kor;rus;;50;
kor-rus xml/Chaser by WOODZ.xml;Chaser;2021;WOODZ;;Chaser;WOODZ;JustL;;художественная;kor;rus;;51;
kor-rus xml/CHEER UP by TWICE.xml;CHEER UP;2016;TWICE;;CHEER UP;TWICE;LizaNetUki;;художественная;kor;rus;;52;
kor-rus xml/CHEESE by Stray Kids.xml;CHEESE;2021;Stray Kids;;CHEESE;Stray Kids;pink peach;;художественная;kor;rus;;53;
kor-rus xml/Cherry Bomb by NCT 127.xml;Cherry Bomb;2017;NCT 127;;Cherry Bomb;NCT 127;Del Del;;художественная;kor;rus;;54;
kor-rus xml/Come see me by AOA.xml;Come see me;2019;AOA;;Come see me;AOA;ArchiePark;;художественная;kor;rus;;55;
kor-rus xml/Cool by Weki Meki.xml;Cool;2020;Weki Meki;;Cool;Weki Meki;buchateri;;художественная;kor;rus;;56;
kor-rus xml/Crayon by G-DRAGON.xml;Crayon;2012;G-DRAGON;;Crayon;G-DRAGON;io _;;художественная;kor;rus;;57;
kor-rus xml/Crazy by 4Minute.xml;Crazy;2015;4Minute;;Crazy;4Minute;ltdznm;;художественная;kor;rus;;58;
kor-rus xml/Criminal by TAEMIN.xml;Criminal;2020;TAEMIN;;Criminal;TAEMIN;Ира Серёгина;;художественная;kor;rus;;59;
kor-rus xml/Cry For Me by TWICE.xml;Cry For Me;2020;TWICE;;Cry For Me;TWICE;ArchiePark;;художественная;kor;rus;;60;
kor-rus xml/Curve by SUNMI.xml;Curve;2018;SUNMI;;Curve;SUNMI;ArchiePark;;художественная;kor;rus;;61;
kor-rus xml/Dally Dally by HYOLYN.xml;Dally Dally;2018;HYOLYN;;Dally Dally;HYOLYN;Mira1199;;художественная;kor;rus;;62;
kor-rus xml/DIFFERENT by WOODZ.xml;DIFFERENT;2018;WOODZ;;DIFFERENT;WOODZ;KM_;;художественная;kor;rus;;63;
kor-rus xml/Do it ! by HyunA.xml;Do it !;2016;HyunA;;Do it !;HyunA;SimplyStar;;художественная;kor;rus;;64;
kor-rus xml/Don_t Cry by 2NE1.xml;Don_t Cry;2011;2NE1;;Don_t Cry;2NE1;Алена Тюрютикова;;художественная;kor;rus;;65;
kor-rus xml/Don_t Forget Me by miss A.xml;Don_t Forget Me;2015;miss A;;Don_t Forget Me;miss A;ltdznm;;художественная;kor;rus;;66;
kor-rus xml/Don_t Know You by HEIZE.xml;Don_t Know You;2017;HEIZE;;Don_t Know You;HEIZE;casey_lee;;художественная;kor;rus;;67;
kor-rus xml/Don_t Make Me Cry by Jessi.xml;Don_t Make Me Cry;2017;Jessi;;Don_t Make Me Cry;Jessi;Stasya533;;художественная;kor;rus;;68;
kor-rus xml/Down by Jessi.xml;Down;2018;Jessi;;Down;Jessi;Stasya533;;художественная;kor;rus;;69;
kor-rus xml/Dramarama by MONSTA X.xml;Dramarama;2017;MONSTA X;;Dramarama;MONSTA X;김다연;;художественная;kor;rus;;70;
kor-rus xml/Drunk-Dazed by ENHYPEN.xml;Drunk-Dazed;2021;ENHYPEN;;Drunk-Dazed;ENHYPEN;ентан ест ким тэхена;;художественная;kor;rus;;71;
kor-rus xml/DUMB DUMB by SOMI.xml;DUMB DUMB;2021;SOMI;;DUMB DUMB;SOMI;dorion;;художественная;kor;rus;;72;
kor-rus xml/Déjà vu by MONSTA X.xml;Déjà vu;2017;MONSTA X;;Déjà vu;MONSTA X;Nastya Im;;художественная;kor;rus;;73;
kor-rus xml/Easy by Wheein.xml;Easy;2018;Wheein;;Easy;Wheein;8U;;художественная;kor;rus;;74;
kor-rus xml/Energetic by WANNA ONE.xml;Energetic;2017;WANNA ONE;;Energetic;WANNA ONE;Pollin Min;;художественная;kor;rus;;75;
kor-rus xml/Everybody by SHINee.xml;Everybody;2013;SHINee;;Everybody;SHINee;SimplyStar;;художественная;kor;rus;;76;
kor-rus xml/Excuse me by AOA.xml;Excuse me;2017;AOA;;Excuse me;AOA;maria kwon;;художественная;kor;rus;;77;
kor-rus xml/Falling In Love by 2NE1.xml;Falling In Love;2013;2NE1;;Falling In Love;2NE1;Viktoria_4;;художественная;kor;rus;;78;
kor-rus xml/Fancy by TWICE.xml;Fancy;2019;TWICE;;Fancy;TWICE;ArchiePark;;художественная;kor;rus;;79;
kor-rus xml/FEEL LIKE by WOODZ.xml;FEEL LIKE;2021;WOODZ;;FEEL LIKE;WOODZ;Pink and Pink sweater;;художественная;kor;rus;;80;
kor-rus xml/Feel Special by TWICE.xml;Feel Special;2019;TWICE;;Feel Special;TWICE;namu_uwu;;художественная;kor;rus;;81;
kor-rus xml/FEVER by ENHYPEN.xml;FEVER;2021;ENHYPEN;;FEVER;ENHYPEN;Varennik;;художественная;kor;rus;;82;
kor-rus xml/Full Moon by SUNMI.xml;Full Moon;2014;SUNMI;;Full Moon;SUNMI;ArchiePark;;художественная;kor;rus;;83;
kor-rus xml/Future Perfect (Pass the MIC) by ENHYPEN.xml;Future Perfect (Pass the MIC);2022;ENHYPEN;;Future Perfect (Pass the MIC);ENHYPEN;SofiaArmy;;художественная;kor;rus;;84;
kor-rus xml/Good bye by Wheein.xml;Good bye;2019;Wheein;;Good bye;Wheein;darrgie;;художественная;kor;rus;;85;
kor-rus xml/Good night by DAWN.xml;Good night;2017;DAWN;;Good night;DAWN;SimplyStar;;художественная;kor;rus;;86;
kor-rus xml/Gotta Go by CHUNG HA.xml;Gotta Go;2019;CHUNG HA;;Gotta Go;CHUNG HA;maria kwon;;художественная;kor;rus;;87;
kor-rus xml/Gotta Talk To U by Seungri.xml;Gotta Talk To U;2013;Seungri;;Gotta Talk To U;Seungri;8U;;художественная;kor;rus;;88;
kor-rus xml/HAPPEN by HEIZE.xml;HAPPEN;2021;HEIZE;;HAPPEN;HEIZE;WALLE;;художественная;kor;rus;;89;
kor-rus xml/Heart Attack by AOA.xml;Heart Attack;2015;AOA;;Heart Attack;AOA;;;художественная;kor;rus;;90;
kor-rus xml/Heart Burn by SUNMI.xml;Heart Burn;2022;SUNMI;;Heart Burn;SUNMI;Pink and Pink sweater;;художественная;kor;rus;;91;
kor-rus xml/Heartsore Story by Wheesung.xml;Heartsore Story;2011;Wheesung;;Heartsore Story;Wheesung;Varennik;;художественная;kor;rus;;92;
kor-rus xml/Heroine by SUNMI.xml;Heroine;2018;SUNMI;;Heroine;SUNMI;ArchiePark;;художественная;kor;rus;;93;
kor-rus xml/Hey You by SUNMI.xml;Hey You;2019;SUNMI;;Hey You;SUNMI;Stasya533;;художественная;kor;rus;;94;
kor-rus xml/Home by Tablo.xml;Home;2011;Tablo;;Home;Tablo;Beverly Mills;;художественная;kor;rus;;95;
kor-rus xml/Hope to be like you by WOODZ.xml;Hope to be like you;2022;WOODZ;;Hope to be like you;WOODZ;Pink and Pink sweater;;художественная;kor;rus;;96;
kor-rus xml/Hopeless Love by JAMIE.xml;Hopeless Love;2015;JAMIE;;Hopeless Love;JAMIE;Pink and Pink sweater;;художественная;kor;rus;;97;
kor-rus xml/Hot Sauce by NCT DREAM.xml;Hot Sauce;2021;NCT DREAM;;Hot Sauce;NCT DREAM;Ира Серёгина;;художественная;kor;rus;;98;
kor-rus xml/I am YOU by Stray Kids.xml;I am YOU;2018;Stray Kids;;I am YOU;Stray Kids;Varennik;;художественная;kor;rus;;99;
kor-rus xml/I by TAEYEON.xml;I;2015;TAEYEON;;I;TAEYEON;novik;;художественная;kor;rus;;100;
kor-rus xml/I Don_t Need A Man by miss A.xml;I Don_t Need A Man;2013;miss A;;I Don_t Need A Man;miss A;ArchiePark;;художественная;kor;rus;;101;
kor-rus xml/I Want To Be Me by Jessi.xml;I Want To Be Me;2016;Jessi;;I Want To Be Me;Jessi;Stasya533;;художественная;kor;rus;;102;
kor-rus xml/I will show you by Ailee.xml;I will show you;2012;Ailee;;I will show you;Ailee;ArchiePark;;художественная;kor;rus;;103;
kor-rus xml/Ice cream by HyunA.xml;Ice cream;2012;HyunA;;Ice cream;HyunA;lilifilm;;художественная;kor;rus;;104;
kor-rus xml/Ice Cream Melting by TWICE.xml;Ice Cream Melting;2017;TWICE;;Ice Cream Melting;TWICE;KatieShine;;художественная;kor;rus;;105;
kor-rus xml/If You Want by SISTAR.xml;If You Want;2013;SISTAR;;If You Want;SISTAR;ArchiePark;;художественная;kor;rus;;106;
kor-rus xml/Intro by AOA.xml;Intro;2014;AOA;;Intro;AOA;buchateri;;художественная;kor;rus;;107;
kor-rus xml/Kiss by 2NE1.xml;Kiss;2010;2NE1;;Kiss;2NE1;Софья;;художественная;kor;rus;;108;
kor-rus xml/Kiss of fire by WOODZ.xml;Kiss of fire;2021;WOODZ;;Kiss of fire;WOODZ;iamanncat;;художественная;kor;rus;;109;
kor-rus xml/LALALAY by SUNMI.xml;LALALAY;2019;SUNMI;;LALALAY;SUNMI;ArchiePark;;художественная;kor;rus;;110;
kor-rus xml/Late Autumn by Cho Kyu-hyun.xml;Late Autumn;2013;Cho Kyu-hyun;;Late Autumn;Cho Kyu-hyun;Demonia;;художественная;kor;rus;;111;
kor-rus xml/Left and Right by SEVENTEEN.xml;Left and Right;2020;SEVENTEEN;;Left and Right;SEVENTEEN;8U;;художественная;kor;rus;;112;
kor-rus xml/Like You by Jonghyun.xml;Like You;2016;Jonghyun;;Like You;Jonghyun;Stay Inside;;художественная;kor;rus;;113;
kor-rus xml/LILAC by IU.xml;LILAC;2021;IU;;LILAC;IU;8U;;художественная;kor;rus;;114;
kor-rus xml/Lipstick by Orange Caramel.xml;Lipstick;2012;Orange Caramel;;Lipstick;Orange Caramel;Demonia;;художественная;kor;rus;;115;
kor-rus xml/Loser by KANG DANIEL.xml;Loser;2021;KANG DANIEL;;Loser;KANG DANIEL;nastyavarly;;художественная;kor;rus;;116;
kor-rus xml/Love dust by BIGBANG.xml;Love dust;2012;BIGBANG;;Love dust;BIGBANG;Alex Lin;;художественная;kor;rus;;117;
kor-rus xml/Love is a lie by WINNER.xml;Love is a lie;2014;WINNER;;Love is a lie;WINNER;cinnamon bun;;художественная;kor;rus;;118;
kor-rus xml/LULLABY by WOODZ.xml;LULLABY;2021;WOODZ;;LULLABY;WOODZ;JustL;;художественная;kor;rus;;119;
kor-rus xml/Luv Me by AOA.xml;Luv Me;2016;AOA;;Luv Me;AOA;maria kwon;;художественная;kor;rus;;120;
kor-rus xml/MAGO by GFRIEND.xml;MAGO;2020;GFRIEND;;MAGO;GFRIEND;buchateri;;художественная;kor;rus;;121;
kor-rus xml/Make Me Go by TWICE.xml;Make Me Go;2020;TWICE;;Make Me Go;TWICE;Анна Савостьянова;;художественная;kor;rus;;122;
kor-rus xml/ME ME WE by Ailee.xml;ME ME WE;2020;Ailee;;ME ME WE;Ailee;SimplyStar;;художественная;kor;rus;;123;
kor-rus xml/MIROH by Stray Kids.xml;MIROH;2019;Stray Kids;;MIROH;Stray Kids;Kim Yorin;;художественная;kor;rus;;124;
kor-rus xml/Misunderstood by KANG DANIEL.xml;Misunderstood;2021;KANG DANIEL;;Misunderstood;KANG DANIEL;Beautiful Life;;художественная;kor;rus;;125;
kor-rus xml/Mixed Up by ENHYPEN.xml;Mixed Up;2021;ENHYPEN;;Mixed Up;ENHYPEN;Varennik;;художественная;kor;rus;;126;
kor-rus xml/MOMMAE(Remix) by Jay Park.xml;MOMMAE(Remix);2015;Jay Park;;MOMMAE(Remix);Jay Park;cinnamon bun;;художественная;kor;rus;;127;
kor-rus xml/Monster1 by BIGBANG.xml;Monster1;2012;BIGBANG;;Monster1;BIGBANG;io _;;художественная;kor;rus;;128;
kor-rus xml/Monster2 by EXO.xml;Monster2;2016;EXO;;Monster2;EXO;SuriKim;;художественная;kor;rus;;129;
kor-rus xml/Mr.Mr. by Girls_ Generation.xml;Mr.Mr.;2014;Girls_ Generation;;Mr.Mr.;Girls_ Generation;Алена Тюрютикова;;художественная;kor;rus;;130;
kor-rus xml/Narcissism by SUNMI.xml;Narcissism;2021;SUNMI;;Narcissism;SUNMI;Beautiful Life;;художественная;kor;rus;;131;
kor-rus xml/New Face by PSY.xml;New Face;2017;PSY;;New Face;PSY;Georgankar;;художественная;kor;rus;;132;
kor-rus xml/Next Level by aespa.xml;Next Level;2021;aespa;;Next Level;aespa;SimplyStar;;художественная;kor;rus;;133;
kor-rus xml/Night by KANG DANIEL.xml;Night;2020;KANG DANIEL;;Night;KANG DANIEL;Pink and Pink sweater;;художественная;kor;rus;;134;
kor-rus xml/Noir by SUNMI.xml;Noir;2019;SUNMI;;Noir;SUNMI;ArchiePark;;художественная;kor;rus;;135;
kor-rus xml/Not For Sale by ENHYPEN.xml;Not For Sale;2021;ENHYPEN;;Not For Sale;ENHYPEN;Varennik;;художественная;kor;rus;;136;
kor-rus xml/Obsession by EXO.xml;Obsession;2019;EXO;;Obsession;EXO;ArchiePark;;художественная;kor;rus;;137;
