song_id	title	artist	translator	year	type_of_artist	artist_gender
166	LOVE SHOT	EXO	2018-12-13	Mira1199	group	male
167	LULLABY	WOODZ	2021	JustL	soloist	male
168	Luv Me	AOA	2016	maria kwon	group	female
169	Magic Island	TOMORROW X TOGETHER	2019-11-01	Varennik	group	male
170	MAGO	GFRIEND	2020	buchateri	group	female
171	Make Me Go	TWICE	2020	Анна Савостьянова	group	female
172	ME ME WE	Ailee	2020	SimplyStar	soloist	female
173	Miniskirt	AOA	2014	maria kwon	group	female
174	Misunderstood	KANG DANIEL	2021	Beautiful Life	soloist	male
175	Mixed Up	ENHYPEN	2021	Varennik	group	male
176	MOMMAE(Remix)	Jay Park	2015	cinnamon bun	soloist	male
177	Monster1	BIGBANG	2012	io _	group	male
178	Monster2	EXO	2016	SuriKim	group	male
179	My Sunday	LOONA (South Korea)	2020-11-05	buchateri	group	female
180	NANANA	GOT7	2022-05-23	ianka_obeziankar	group	male
181	Narcissism	SUNMI	2021	Beautiful Life	soloist	female
182	New	LOONA (South Korea)	2020-05-24	saidenkook	group	female
183	New Face	PSY	2017	Georgankar	soloist	male
184	New Rules	TOMORROW X TOGETHER	2019-10-31	Varennik	group	male
185	Next Level	aespa	2021	SimplyStar	group	female
186	Night	KANG DANIEL	2020	Pink and Pink sweater	soloist	male
187	No Rules	TOMORROW X TOGETHER	2021-05-31	Varennik	group	male
188	NOID	WOODZ	2020	Оля Смирнова	soloist	male
189	Noir	SUNMI	2019	ArchiePark	soloist	female
190	Not by the Moon	GOT7	2020-04-20	cuzcus	group	male
191	Not For Sale	ENHYPEN	2021	Varennik	group	male
192	Number 1	LOONA (South Korea)	2020-05-09	Varennik	group	female
193	Obsession	EXO	2019	ArchiePark	group	male
194	Oh (Yes i am)	LOONA (South Korea)	2020-05-09	Varennik	group	female
195	One In A Billion	ENHYPEN	2022-09-08	Varennik	group	male
196	One way love	HYOLYN	2013	Ray Pandanii	soloist	female
197	Only Look At Me	TAEYANG	2010	Saekkeol	soloist	male
198	Only You	miss A	2015	aniutiktik	group	female
199	OOPS!	LOONA (South Korea)	2020-10-20	Ира Серёгина	group	female
200	Our Summer	TOMORROW X TOGETHER	2019-03-04	Mira1199	group	male
201	Outta My Head	SOMI	2019	ArchiePark	soloist	female
202	Palette	IU	2017	Vesna7Ника	soloist	female
203	Pandora	BamBam	2021	SimplyStar	soloist	male
204	Parade	KANG DANIEL	2022	jolytae	soloist	male
205	ParadoXXX Invasion	ENHYPEN	2022-07-04	Varennik	group	male
206	Perfect Love	LOONA (South Korea)	2021-06-28	Stasya533	group	female
207	Pink Venom	BLACKPINK	2022-08-19	SimplyStar	group	female
208	Play Me	TAEMIN	2014	Nata Off	soloist	male
209	Polaroid Love	ENHYPEN	2021-12-04	Varennik	group	male
210	Potion	Eric Nam	2018	HappyLittle_Sun	soloist	male
211	Pporappippam	SUNMI	2020	ArchiePark	soloist	female
212	PTT (Paint The Town)	LOONA (South Korea)	2021-06-28	dorion	group	female
213	Run	BTS	2015	Natasha Vasilyeva	group	male
214	Sacrifice (Eat Me Up)	ENHYPEN	2023-05-22	Varennik	group	male
215	Señorita	(G)I-DLE	2019-02-26	ArchiePark	group	female
216	Shadow	TAEMIN	2019	VikingJoon	soloist	male
217	Shine	PENTAGON	2018	alisa mun	group	male
218	Shoot Out	MONSTA X	2019-05-31	L.M.N.	group	male
219	Short hair	AOA	2014	Arak_kill	group	female
220	Siren	SUNMI	2018	dorion	soloist	female
221	SO BAD	STAYC	2020	buchateri	group	female
222	So What	LOONA (South Korea)	2020-03-10	dorion	group	female
223	So What	LOONA	2020	dorion	group	female
224	Sorry	AOA	2019	ArchiePark	group	female
225	Sour candy	WOODZ	2021	JustL	soloist	male
226	Ssenunni	Jessi	2016	Алена Тюрютикова	soloist	female
227	Sugar Rush Ride	TOMORROW X TOGETHER	2023-01-27	Varennik	group	male
228	Sunny	SUNMI	2021	flacon	soloist	female
229	Superman	SUPER JUNIOR	2011	ворон	group	male
230	Tail	SUNMI	2021	ArchiePark	soloist	female
231	Tamed-Dashed	ENHYPEN	2021-10-12	Varennik	group	male
232	Teacher	IU	2011	8U	soloist	female
233	TFW (That Feeling When)	ENHYPEN	2022-07-04	Varennik	group	male
234	Thanks to	WOODZ	2020	Pink and Pink sweater	soloist	male
235	The Boys	Girls' Generation	2011	alisa mun	group	female
236	The carol	LOONA (South Korea)	2021-01-01	luvusomad	group	female
237	The Story I Didn't Know	IU	2011	8U	soloist	female
238	Thursday	GOT7	2019-11-05	magicmaze	group	male
239	Thursday's Child Has Far To Go	TOMORROW X TOGETHER	2022-05-09	Varennik	group	male
240	Tide	WOODZ	2020	Beautiful Life	soloist	male
241	Tinnitus (돌멩이가 되고 싶어) [Tinnitus (Wanna be a rock)]	TOMORROW X TOGETHER	2023-01-27	Varennik	group	male
242	Togeworl	Kim Lim	2013	Jane Doe	soloist	female
243	TOMBOY	(G)I-DLE	2022-03-14	Ира Серёгина	group	female
244	Touché	WOODZ	2021	JustL	soloist	male
245	TRASH	Wheein	2021	Beautiful Life	soloist	female
246	Trigger	WOODZ	2020	Ира Серёгина	soloist	male
247	UN Village	BAEKHYUN	2019	Ира Серёгина	soloist	male
248	Volume Up	4Minute	2012	ArchiePark	group	female
249	WAITING	WOODZ	2021	JustL	soloist	male
250	Wee Woo	PRISTIN	2017	maria kwon	group	female
251	What The Flower	SUNMI	2021	SimplyStar	soloist	female
252	What Type of X	Jessi	2021	SimplyStar	soloist	female
253	White Love	MONSTA X	2017	venusbaek	group	male
254	Wishlist	TOMORROW X TOGETHER	2020-10-26	Varennik	group	male
255	Zombie	DAY6	2020-05-11	dorion	group	male
256	고마워 (Thank you)	GOT7	2018-03-12	Vesna7Ника	group	male
257	그냥 괴물을 살려두면 안 되는 걸까 (Can't We Just Leave the Monster Alive)	TOMORROW X TOGETHER	2019-10-30	namu_uwu	group	male
258	거울 속의 미로 (Maze in the Mirror)	TOMORROW X TOGETHER	2020-05-18	Varennik	group	male
259	네버랜드를 떠나며 (Farewell, Neverland)	TOMORROW X TOGETHER	2023-01-27	Varennik	group	male
260	너 그리고 나	GFRIEND	2016-12-18	kinx.02	group	female
261	마지막처럼 [As If It's Your Last]	BLACKPINK	2017-06-22	Nata Off	group	female
262	누군가 필요해 (I Need Somebody)	DAY6	2022-06-26	Maria Skvortsova	group	male
263	모 아니면 도 (Go Big or Go Home)	ENHYPEN	2021-10-12	Varennik	group	male
264	목소리 (Voice)	LOONA (South Korea)	2020-12-17	luvusomad	group	female
265	몰랐어	ENHYPEN	2021-10-12	Varennik	group	male
266	다녀가요 (Around you)	LOONA (South Korea)	2018-07-30	Sweet u	artist	female
267	동물원을 빠져나온 퓨마 (PUMA)	TOMORROW X TOGETHER	2020-05-18	Varennik	group	male
268	딩가딩가 (Dingga)	MAMAMOO	2020-10-20	buchateri	group	female
269	땀 (Sweat)	TOMORROW X TOGETHER	2022-01-21	Varennik	group	male
270	별의 낮잠 (Nap of a Star)	TOMORROW X TOGETHER	2019-03-04	누나 김	group	male
271	별이 빛나는 밤 (Starry Night)	MAMAMOO	2018-03-08	Mira1199	group	female
272	불장난 [Playing With Fire]	BLACKPINK	2021-01-05	안혜진 - Hwasa	group	female
273	삐딱하게 (Crooked)	G-DRAGON	2014-04-19	Viktoria_4	artist	female
274	소년, 소녀 (Let me in)	LOONA (South Korea)	2023-07-27	Kkk_arin	artist	female
275	소름 (Chill)	EXO	2017-07-31	Soul	group	male
276	질주 (2 Baddies)	NCT 127	2022-09-17	Ilya Goose	group	male
277	숨바꼭질 (Hide & Seek)	LOONA (South Korea)	2020-10-20	Ира Серёгина	group	female
278	시간을 달려서 (Rough)	GFRIEND	2016-07-29	Arak_kill	group	female
279	쏘리 쏘리 (Sorry Sorry)	SUPER JUNIOR	2020-04-08	Varennik	group	male
280	액션 영화처럼 (Blockbuster)	ENHYPEN	2021-10-12	Varennik	group	male
281	얌얌 (이달의 소녀 (여진, 김립, 최리, 고원) X 코코몽)	LOONA (South Korea)	2021-06-12	Stasya533	group	female
282	어느날 머리에서 뿔이 자랐다	TOMORROW X TOGETHER	2019-03-04	Mira1199	group	male
283	열기 (Nine)	LOONA (South Korea)	2020-05-24	saidenkook	group	female
284	위성 (Satellite)	LOONA (South Korea)	2020-10-31	luvusomad	group	female
285	일낼라 (ILLELLA)	MAMAMOO	2022-10-11	p1syusha	group	female
286	자각몽 (Lucid Dream)	aespa	2021-10-24	Анна Савостьянова	group	female
287	케스는 다음에 (Kiss later)	LOONA (South Korea)	2021-01-07	jolytae	artist	female
288	퀸카 (Queencard)	(G)I-DLE	2023-05-15	drk.bora	group	female
289	하루하루	BIGBANG	2019-08-01	Min Yoona	group	male
290	화(火花) (HWAA)	(G)I-DLE	2021-01-11	SimplyStar	group	female
