song_id	line_id_1	line_id_2	rhyme_type	rhyme_lang	long_binary	transcr1	last_word_1	last_syll_1\last_vowel_1	transcr2	last_word_2	last_syll_2\last_vowel_2
0	2-6	2-5	rhyme_additive/subtractive rhyme	en_ko	False	nʌwɐ i ɕiɟɐk i jɐ		laɪn	aɪ	ðɪs ɪz ˌaʊɚ stˈɑːɹt lˈaɪn ˌaʊɚ stˈɑːɹt lˈaɪn ˌaʊɚ stˈɑːɹt lˈaɪn		jɐ	ɐ
0	3-1	3-2	exact_perfect rhyme	ko_ko	False	tʰɛʌnɐ tʰɛʌnɐ nɐ ɐ nɐ nɨŋ gɨt͈ɛ tɐɕi tʰɛʌnɐ		nɐ	ɐ	ɐmu kʌt to ʌp tʌ hɨlgʲe ɐɾɨmdɐp k͈ot͡ɕʰ i pʰʲjʌnɐ		nɐ	ɐ
0	3-2	3-1	exact_perfect rhyme	ko_ko	False	ɐmu kʌt to ʌp tʌ hɨlgʲe ɐɾɨmdɐp k͈ot͡ɕʰ i pʰʲjʌnɐ		nɐ	ɐ	tʰɛʌnɐ tʰɛʌnɐ nɐ ɐ nɐ nɨŋ gɨt͈ɛ tɐɕi tʰɛʌnɐ		nɐ	ɐ
0	4-1	4-2	last_word_repetition	en_en	False	hʲimdɨɾʌt tt suŋgɐn dɨl nˈoʊmˌoːɹ	more			hol ɾo sʌ ɕigɐn dɨl nˈoʊmˌoːɹ	more		
0	4-2	4-1	last_word_repetition	en_en	False	hol ɾo sʌ ɕigɐn dɨl nˈoʊmˌoːɹ	more			hʲimdɨɾʌt tt suŋgɐn dɨl nˈoʊmˌoːɹ	more		
0	5-1	5-4	rhyme_additive/subtractive rhyme	en_ko	False	juː nˈoʊ wiː ɡˌoʊ ˌʌp ˌʌp jˈɛh wiː dˈɑːn  tˈiː stˈɑːp		tɑp	ɑ	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		kɐ	ɐ
0	5-3	5-4	rhyme_perfect rhyme	en_ko	False	juː nˈoʊ wiː ɡˌoʊ ˌʌp ˌʌp tˈɪl wiː tˈʌtʃ ðə skˈaɪ		kaɪ	aɪ	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		kɐ	ɐ
0	5-4	5-1	rhyme_additive/subtractive rhyme	en_ko	False	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		tɑp	ɑ	juː nˈoʊ wiː ɡˌoʊ ˌʌp ˌʌp jˈɛh wiː dˈɑːn  tˈiː stˈɑːp		kɐ	ɐ
0	5-4	5-3	rhyme_perfect rhyme	en_ko	False	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		kaɪ	aɪ	juː nˈoʊ wiː ɡˌoʊ ˌʌp ˌʌp tˈɪl wiː tˈʌtʃ ðə skˈaɪ		kɐ	ɐ
0	6-1	6-3	last_word_repetition	en_en	False	kæn juː stˈeɪ ɹˈaɪt wɪð mˌiː  wɪð mˌiː	me			kæn juː stˈeɪ ɹˈaɪt wɪð mˌiː  wɪð mˌiː	me		
0	6-2	6-4	full_repetition	ko_ko	False	kˈɔːz wiː ɡˈɑːn dˈuː ɪt təɡˈɛðɚ nʌwɐ				kˈɔːz wiː ɡˈɑːn dˈuː ɪt təɡˈɛðɚ nʌwɐ			
0	6-3	6-1	last_word_repetition	en_en	False	kæn juː stˈeɪ ɹˈaɪt wɪð mˌiː  wɪð mˌiː	me			kæn juː stˈeɪ ɹˈaɪt wɪð mˌiː  wɪð mˌiː	me		
0	6-4	6-2	full_repetition	ko_ko	False	kˈɔːz wiː ɡˈɑːn dˈuː ɪt təɡˈɛðɚ nʌwɐ				kˈɔːz wiː ɡˈɑːn dˈuː ɪt təɡˈɛðɚ nʌwɐ			
0	7-2	7-4	last_word_repetition	ko_ko	False	nɐ i k͈um i nɛ soŋk͈ɨtʰe tɐɦɨl t͈ɛk͈ɐɟi	때까지			k͈ɨkk͈ɐɟi tɐlɾjʌ nɛ k͈um i poi t͈ɛk͈ɐɟi	때까지		
0	7-3	7-6	exact_additive/subtractive rhyme	ko_ko	False	swi t͡ɕi ɐn ko tɐlɾjʌt tʌ nɐn nɐɾɨ kʲjʌk hɐʌ		hɐʌ	ɐ	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		kɐ	ɐ
0	7-4	7-2	last_word_repetition	ko_ko	False	k͈ɨkk͈ɐɟi tɐlɾjʌ nɛ k͈um i poi t͈ɛk͈ɐɟi	때까지			nɐ i k͈um i nɛ soŋk͈ɨtʰe tɐɦɨl t͈ɛk͈ɐɟi	때까지		
0	7-5	7-6	rhyme_perfect rhyme	en_ko	False	juː nˈoʊ wiː ɡˌoʊ ˌʌp ˌʌp tˈɪl wiː tˈʌtʃ ðə skˈaɪ		kaɪ	aɪ	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		kɐ	ɐ
0	7-5	7-7	rhyme_perfect rhyme	en_ko	False	juː nˈoʊ wiː ɡˌoʊ ˌʌp ˌʌp tˈɪl wiː tˈʌtʃ ðə skˈaɪ		kaɪ	aɪ	t͡ɕɐmɕi nʌmʌɟjʌ t͡ɕogɨm ɕ͈ik hɨndɨlɾi tɛ to t͡ɕʌldɛɾo pʰogʲi nɨn mɐl ɐ		lɐ	ɐ
0	7-5	7-8	exact_additive/subtractive rhyme	en_en	False	juː nˈoʊ wiː ɡˌoʊ ˌʌp ˌʌp tˈɪl wiː tˈʌtʃ ðə skˈaɪ		kaɪ	aɪ	ðɪs ɪz ˌaʊɚ stˈɑːɹt lˈaɪn ˌaʊɚ stˈɑːɹt lˈaɪn ˌaʊɚ stˈɑːɹt lˈaɪn		laɪn	aɪ
0	7-6	7-3	exact_additive/subtractive rhyme	ko_ko	False	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		hɐʌ	ɐ	swi t͡ɕi ɐn ko tɐlɾjʌt tʌ nɐn nɐɾɨ kʲjʌk hɐʌ		kɐ	ɐ
0	7-6	7-5	rhyme_perfect rhyme	en_ko	False	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		kaɪ	aɪ	juː nˈoʊ wiː ɡˌoʊ ˌʌp ˌʌp tˈɪl wiː tˈʌtʃ ðə skˈaɪ		kɐ	ɐ
0	7-6	7-7	exact_perfect rhyme	ko_ko	False	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		kɐ	ɐ	t͡ɕɐmɕi nʌmʌɟjʌ t͡ɕogɨm ɕ͈ik hɨndɨlɾi tɛ to t͡ɕʌldɛɾo pʰogʲi nɨn mɐl ɐ		lɐ	ɐ
0	7-6	7-8	rhyme_additive/subtractive rhyme	ko_en	False	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		kɐ	ɐ	ðɪs ɪz ˌaʊɚ stˈɑːɹt lˈaɪn ˌaʊɚ stˈɑːɹt lˈaɪn ˌaʊɚ stˈɑːɹt lˈaɪn		laɪn	aɪ
0	7-6	7-9	exact_perfect rhyme	ko_ko	False	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		kɐ	ɐ	uɾi i ɕiɟɐk i jɐ		jɐ	ɐ
0	7-7	7-5	rhyme_perfect rhyme	en_ko	False	t͡ɕɐmɕi nʌmʌɟjʌ t͡ɕogɨm ɕ͈ik hɨndɨlɾi tɛ to t͡ɕʌldɛɾo pʰogʲi nɨn mɐl ɐ		kaɪ	aɪ	juː nˈoʊ wiː ɡˌoʊ ˌʌp ˌʌp tˈɪl wiː tˈʌtʃ ðə skˈaɪ		lɐ	ɐ
0	7-7	7-6	exact_perfect rhyme	ko_ko	False	t͡ɕɐmɕi nʌmʌɟjʌ t͡ɕogɨm ɕ͈ik hɨndɨlɾi tɛ to t͡ɕʌldɛɾo pʰogʲi nɨn mɐl ɐ		kɐ	ɐ	nɛ kʲe poi t͡ɕi ɐnhɐdo t͡ɕʌ k͈ɨkk͈ɐɟi kɐ		lɐ	ɐ
0	7-7	7-8	rhyme_additive/subtractive rhyme	ko_en	False	t͡ɕɐmɕi nʌmʌɟjʌ t͡ɕogɨm ɕ͈ik hɨndɨlɾi tɛ to t͡ɕʌldɛɾo pʰogʲi nɨn mɐl ɐ		lɐ	ɐ	ðɪs ɪz ˌaʊɚ stˈɑːɹt lˈaɪn ˌaʊɚ stˈɑːɹt lˈaɪn ˌaʊɚ stˈɑːɹt lˈaɪn		laɪn	aɪ
0	7-7	7-9	exact_perfect rhyme	ko_ko	False	t͡ɕɐmɕi nʌmʌɟjʌ t͡ɕogɨm ɕ͈ik hɨndɨlɾi tɛ to t͡ɕʌldɛɾo pʰogʲi nɨn mɐl ɐ		lɐ	ɐ	uɾi i ɕiɟɐk i jɐ		jɐ	ɐ
0	7-8	7-5	exact_additive/subtractive rhyme	en_en	False	ðɪs ɪz ˌaʊɚ stˈɑːɹt lˈaɪn ˌaʊɚ stˈɑːɹt lˈaɪn ˌaʊɚ stˈɑːɹt lˈaɪn		kaɪ	aɪ	juː nˈoʊ wiː ɡˌoʊ ˌʌp ˌʌp tˈɪl wiː tˈʌtʃ ðə skˈaɪ		laɪn	aɪ
